Sno, songs,singer,lyrics,genri,album
125,Bahut Khoobsurat Ho,"Abhijeet, Neerja Pandit","badee taaza khabar hai ki tum khoobasoorat ho bahut khoobasoorat ho, bahut khoobasoorat ho bahut khoobasoorat ho, bahut khoobasoorat ho ye bikharee see late hain na inhen chehare pe udane do haan, bahut khoobasoorat ho, bahut khoobasoorat ho bahut khoobasoorat ho, bahut khoobasoorat ho ye bikharee see late hain na inhen chehare pe udane do haan, bahut khoobasoorat ho, bahut khoobasoorat ho ye rukhsaar peele se lagate hain na? udaasee kee haldee hai, hat jaegee tamanna kee laalee ko pakane to do ye patajhad kee chhaanv chhat jaegee labon pe zabaan phero inhen geele rahane do haan-haan, bahut khoobasoorat ho, bahut khoobasoorat ho vo chehare jo raushan hai lau kee tarah unhen dhoondhane kee zaroorat nahin meree aankh mein jhaank kar dekh lo tumhen aaeene kee zaroorat nahin roothee see, khafa see tum, zara to maanane do haan-haan, bahut khoobasoorat ho, bahut khoobasoorat ho bahut khoobasoorat ho, bahut khoobasoorat ho la-la-la-la, la-la-la-la, inhen chehare pe udane do haan, bahut khoobasoorat ho, bahut khoobasoorat ho bahut khoobasoorat ho, bahut khoobasoorat ho",,
126,Ae Kash Ke Hum,Kumar Sanu,laala la la la la la la ai kaash ke ham hosh mein ab aane na paen ai kaash ke ham hosh mein ab aane na paen bas nagamen tere pyaar ke gaate hee jaen ai kaash ke ham hosh mein ab aane na paen ai kaash ke ham hosh mein ab aane na paen khilatee mahakatee ye julphon kee shaam hansate khanakate ye hothon ke jaam khilatee mahakatee ye julphon kee shaam hansate khanakate ye hothon ke jaam aa jhoom ke saaz uthaen bas nagamen tere pyaar ke gaate hee jaen ai kaash ke ham hosh mein ab aane na paen bas nagamen tere pyaar ke gaate hee jaen ai kaash ke ham hosh mein ab aane na paen laala la la la la la la ru ru ru ru ru ru ho bas agar tum hamaare sanam ham to sitaaron pe rakh den kadam ho bas agar tum hamaare sanam ham to sitaaron pe rakh den kadam saara jahaan bhool jaen bas nagamen tere pyaar ke gaate hee jaen ai kaash ke ham hosh mein ab aane na paen ai kaash ke ham hosh mein ab aane na paen bas nagamen tere pyaar ke gaate hee jaen ai kaash ke ham hosh mein ab aane na paen ai kaash ke ham hosh mein ab aane na paen,,
127,Dil Ka Qaraar,"Sonu Nigam, Shraddha Pandit","Teri ek chhuwan se jaaga
yeh kaisa ehsaas
Pehle to mehsus hui na
mujhko aisi pyaas
Pehli pehil baar baliye
dil gaya haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya
Hai.. dil ka qaraar kho gaya
Pehli pehli baar baliye
dil gayi haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya

Hai.. Dil ka qaraar kho gaya
Bhole teri soni soni

ankha mastaaniya
Pyaar ke liye yeh dengi
laakhon qurbaaniya
Karke ek baar baliye
dil gaya haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya
Hai.. dil ka qaraar kho gaya
Pehli pehli baar baliye
dil gaya haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya

Hai.. dil ka qaraar kho gaya

Aah, aa aa aa aah, aa aa aa
Aa aa aa aa aah aa aa aa aa
Tere liye, tere liye
marta hai maahiya
Phir kyoon judaai se dil
darrta hai maahiya
Tujhpe jaan nisaar baliye,
dil gayi haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya

Hai.. dil ka qaraar kho gaya
Pehli pehli baar baliye,
dil gaya haar baliye

Pehli pehli baar baliye,
dil gayi haar baliye
Rabba mainu pyaar ho gaya
Hai.. dil ka qaraar kho gaya
Hai.. dil ka qaraar kho gaya
Dil ka qaraar kho gaya
Hai.. dil ka qaraar kho gaya",,
128,Pehla Nasha Pehla Khumar,"Udit Narayan, Sadhana Sargam","Chahe Tum Kuchh Na Kaho, Maine Sun Liya
Ke Saathi Pyar Ka, Mujhe Chun Liya
Chun Liya, Maine Sun Liya

Pehla Nasha, Pehla Khumar
Naya Pyar Hai Naya Intezar
Kar Loon Main Kya Apna Haal
Aye Dil-e-Beqarar
Mere Dil-e-Beqarar
Tu Hi Bata
Pehla Nasha, Pehla Khumar

Udtaa Hi Firoon, In Hawaon Mein Kaheen
Ya Main Jhool Jaoon, In Ghataon Mein Kaheen
Udtaa Hi Firoon In Hawaon Mein Kaheen
Ya Main Jhool Jaoon In Ghataon Mein Kaheen
Ek Kar Doon Aasma Aur Zamee
Kaho Yaron Kya Karoon Kya Naheen

Pehla Nasha, Pehla Khumar
Naya Pyar Hai Naya Intezar
Kar Loon Main Kya Apna Haal
Aye Dil-E-Beqaraar
Mere Mere Dil-e-Beqarar
Tu Hi Bata
Pehla Nasha, Pehla Khumaar

Usne Baat Ki, Kuchh Aise Dhang Se
Sapne De Gaya, Wo Hazaaron Range Ke
Usne Baat Ki, Kuchh Aise Dhang Se
Sapne De Gaya Wo Hazaaron Range Ke
Reh Jaoon Jaise Main Haar Ke
Aur Choome Wo Mujhe Pyaar Se

Pehla Nasha, Pehla Khumar
Naya Pyar Hai Naya Intezar
Kar Loon Main Kya Apna Haal
Aye Dil-e-Beqarar
Mere Dil-e-Beqarar
",,
129,Saathiya Tune Kya Kiya,S P Balasubramaniam & Chitra,"Sathiya ye tune kya kiya...

beliya ye tune kya kiya

Maine kiya tera intezar ...

itna karo na muje pyar...

Sathiya ye tune kya kiya...

beliya ye tune kya kiya

Maine kiya tera intezar ...

itna karo na muje pyar...

Sathiya ye tune kya kaha...

beliya ye tune kya kaha...

U na kabhi karma intezar...

maine kiya hai tumse pyar...(x2)

Itni mohababt

saha na sakunga

Sach mani zinda

raha na sakunga

Tujko samloo

ye mera zimma

Main hu to kya

hai jane tamanna...

Ab jeena marana mera

janam tere hath hai

Maine kaha na sanam ...

ab tu mere sath hai

To phir samhal

le me chala

Jana kaha

aa dil me aa...

Dil ke chaman

ka hasna to dekha...

Jagi nazar ka

sapna to dekha

Ese bane hum ek

jaan ek dil tu hai ke main hu

Kahena ho mushkil

Chota basanti hai tu

tan hai gulabi mera

Do rang milen ke

baad hote nahi hai juda

To phir samhal

le me chala

Jana kaha

aa dil me aa...

Lallala...sathiya

ye tune kya kiya...

beliya ye tune kya kaha...",,
130,Kabhi Yaadon Me Aau,Abhijeet,"kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon main vo khushaboo nahin, jo hava mein kho jaoon hava bhee chal rahee hai, magar too hee nahin hai fiza rangeen vahee hai, kahaanee kah rahee hai mujhe jitana bhulao, main utana yaad aaoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon jo tum na milatee, khota hee kya dhoondh laane ko? jo tum na milatee, khota hee kya dhoondh laane ko? jo tum na hotee, hota hee kya haar jaane ko? meree amaanat thee tum, meree amaanat thee tum meree mohabbat ho tum, tumhen kaise main bhulaoon? kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon tadap rahe ho zamaane se muskuraane ko tadap rahe ho zamaane se muskuraane ko taras rahe ho zamaane se paas aane ko teree dhadakanon mein bas kar, teree dhadakanon mein bas kar teree saanson mein rah-rah kar tumhen har pal sataoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon main vo khushaboo nahin, jo hava mein kho jaoonkabhee yaadon mein aaoon, kabhee khvaabon mein aaoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon main vo khushaboo nahin, jo hava mein kho jaoon hava bhee chal rahee hai, magar too hee nahin hai fiza rangeen vahee hai, kahaanee kah rahee hai mujhe jitana bhulao, main utana yaad aaoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon jo tum na milatee, khota hee kya dhoondh laane ko? jo tum na milatee, khota hee kya dhoondh laane ko? jo tum na hotee, hota hee kya haar jaane ko? meree amaanat thee tum, meree amaanat thee tum meree mohabbat ho tum, tumhen kaise main bhulaoon? kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon tadap rahe ho zamaane se muskuraane ko tadap rahe ho zamaane se muskuraane ko taras rahe ho zamaane se paas aane ko teree dhadakanon mein bas kar, teree dhadakanon mein bas kar teree saanson mein rah-rah kar tumhen har pal sataoon kabhee yaadon mein aaoon, kabhee khvaabon mein aaoon teree palakon ke sae mein aakar jhilamilaoon main vo khushaboo nahin, jo hava mein kho jaoon",,
131,Main Jahaan Rahoon,Rahat Fateh Ali Khan,"main jahaan rahoon main kaheen bhee hoon teree yaad saath hai kisee se kahoon ke nahin kahoon ye jo dil kee baat hai main jahaan rahoon main kaheen bhee hoon teree yaad saath hai kisee se kahoon ke nahin kahoon ye jo dil kee baat hai kahane ko saath apane ek duniya chalatee hai par chhupake is dil mein tanhaee palatee hai bas yaad saath hai teree yaad saath hai teree yaad saath hai teree yaad saath hai kaheen to dil mein yaadon kee ik soolee gadh jaatee hai kaheen har ek tasveer bahut hee dhundhalee pad jaatee hai koee nayee duniya ke nae rangon mein khush rahata hai koee sab kuchh paake bhee ye man hee man kahata hai kahane ko saath apane ek duniya chalatee hai par chhupake is dil mein tanhaee palatee hai bas yaad saath hai teree yaad saath hai teree yaad saath hai teree yaad saath hai kaheen to beete kal kee jaden dil mein hee utar jaatee hai kaheen jo dhaage toote to maalaen bikhar jaatee hai koee dil mein jagah nayee, baaton ke lie rakhata hai koee apanee palakon par yaadon ke die rakhata hai kahane ko saath apane ek duniya chalatee hai par chhupake is dil mein tanhaee palatee hai bas yaad saath hai teree yaad saath hai teree yaad saath hai teree yaad saath hai",,
132,KHAIRIYAT (BONUS TRACK),Arijit Singh,"khairiyat poochho, kabhee to kaifiyat poochho tumhaare bin deevaane ka kya haal hai dil mera dekho na meree haisiyat poochho tere bin ek din jaise 100 saal hai anjaam hai tay mera, hona tumhen hai mera jitanee bhee ho dooriyaan philahaal hain ye dooriyaan philahaal hain o, khairiyat poochho, kabhee to kaifiyat poochho tumhaare bin deevaane ka kya haal hai dil mera dekho na meree haisiyat poochho tere bin ek din jaise 100 saal hai tumhaaree tasveer ke sahaare mausam kaee guzaare mausamee na samajho par ishq ko hamaare nazaron ke saamane main aata nahin tumhaare magar rahate ho har pal manzar mein tum hamaare gar ishq se hai mila, phir dard se kya geela? is dard mein zindagee khushahaal hai ye dooriyaan philahaal hain o, khairiyat poochho, kabhee to kaifiyat poochho tumhaare bin deevaane ka kya haal hai dil mera dekho na meree haisiyat poochho tere bin ek din jaise 100 saal hai anjaam hai tay mera, hona tumhen hai mera jitanee bhee ho dooriyaan philahaal hain ye dooriyaan philahaal hain",,
133,Mera Dil Bhi Kitna Pagal Hai,Kumar Sanu & Alka Yagnik,"mera dil bhee kitana paagal hai ye pyaar to tumase karata hai mera dil bhee kitana paagal hai ye pyaar to tumase karata hai par saamane jab tum aate ho par saamane jab tum aate ho kuchh bhee kahane se darata hai o mere saajan, o mere saajan saajan, saajan, mere saajan main agar pyaar karoongee kisee se main agar pyaar karoongee kisee se it will bai qasam se foraivair and aivair and aivair main bhee agar dil doonga kabhee kisee ko it will bai qasam se foraivair and aivair and aivair jiya, pyaar maange jiya, aasamaan se ooncha honthon ko pyaas lagee hai, teree nigaah kahatee hai kabhee ""haan-haan-haan, "" kabhee ""na-na-na"" kabhee ""haan-haan-haan, "" kabhee ""na-na-na"" piya, too hee mera piya, aasamaan se ooncha teree hee lagan lagee hai, lekin zubaan kahatee hai kabhee ""haan-haan-haan, "" kabhee ""na-na-na"" kabhee ""haan-haan-haan, "" kabhee ""na-na-na"" ek din jhagada, ek din pyaar... ek din jhagada, ek din pyaar achchha lagata hai ek din jhagada, ek din pyaar achchha lagata hai dil mein ""haan, "" lab pe inakaar... dil mein ""haan, "" lab pe inakaar achchha lagata hai ek din jhagada, ek din pyaar... ek din jhagada, ek din pyaar achchha lagata hai dil mein ""haan, "" lab pe inakaar... dil mein ""haan, "" lab pe inakaar achchha lagata hai hasaraten hai bahut, magar tumase main kya kahoon? leke baanhon mein main tumhen pyaar karata rahoon khvaahishen hai bahut, magar tumase main kya kahoon? khvaahishen hai bahut, magar tumase main kya kahoon? had se aage guzar ke bhee ab mohabbat karoon hasaraten hai bahut, magar tumase main kya kahoon? leke baanhon mein main tumhen pyaar karata rahoon saanchee kaho hamase, tumako kitana pyaar hai? saanchee kaho hamase, tumako kitana pyaar hai? tere bina kya jeena, ab jeena dushvaar hai saanchee kaho hamase, tumako kitana pyaar hai? bahut pyaar karate hai tum ko, sanam bahut pyaar karate hai tum ko, sanam kasam chaahe le lo kasam chaahe le lo, khuda kee kasam bahut pyaar karate hain tum ko, sanam",,
134,Kal Ho Naa Ho,Sonu Nigam,"Har ghadi badal raha hai roop zindagi
Chaav hai kahhi hai dhoop zidnagi
Har pal yahan jee bhar jiyo
Jo hai sama, kal ho na ho

Har ghadi badal raha hai roop zindagi
Chaav hai kahhi hai dhoop zidnagi
Har pal yahan jee bhar jiyo
Jo hai sama, kal ho na ho

Chaahe jo tumhe poore dil se
Milta hai woh mushkil se
Aisa jo koi kahin hai
Bas vahi sabse hasin hai

Us haath ko tum thaam lo
Woh meherbaan kal ho na ho
Har pal yahan jee bhar jiyo
Jo hai sama kal ho na ho

Palko ke leke saaye
Paas koi jo aaye
Lakh sambhalo paagal dil ko
Dil dhadke hi jaaye

Par sochlo is pal hai jo
Woh dastan kal ho na ho
Har pal yahan jee bhar jiyo
Jo hai sama kal ho na ho
Har pal yahan jee bhar jiyo
Jo hai sama kal ho na ho",,
135,O Jaana Na Jaana,Kumar Sanu | Lata Mangeshkar,"o jaanaan, na jaana, ye dil tera deevaana o jaanaan, na jaana, ye dil tera deevaana jahaan bhee too jae, tere peechhe aae ye tera aashiq puraana o jaanaan, na jaana, ye dil tera deevaana jahaan bhee too jae, tere peechhe aae ye tera aashiq puraana o jaanaan, na jaana... zor chalata nahin, kya karoon? haiy, dil sambhalata nahin, kya karoon? haay haan, aisa kaanta laga pyaar ka ab nikalata nahin, kya karoon? teree nigaahon ka main ban gaya hoon nishaana o jaanaan, na jaana, ye dil tera deevaana jahaan bhee too jae, tere peechhe aae ye tera aashiq puraana o jaanaan, na jaana... saaree duniya se ham rooth ke are, aa mohabbat karen toot ke ho, ud na jae kabhee kya pata koee bhanvara mujhe loot ke bhanvara nahin hai, mera naam hai paravaana o jaanaan, ye maana, too hai mera deevaana o jaanaan, ye maana, too hai mera deevaana too kare jo ishaara, chalee aaoon, yaara, main chhod ke ye zamaana",,
136,Dholida,Janhvi Shrimankar & Shail Hada,"Dholida
(Ch) Saiyyar Mahri Saiyyar Re
Hich Layi Garbe Ghoomo
Dholida Na Dhol Wagya
Dham Dham Dham Dhamak Dham

Hey Dholida
Dham Dham Dhamak Baje
Dholida
Dham Dham Dhamak Baje
Hey Dholida
Dham Dham Dhamak Baje
Nache Nache Re Dhol Pe Hawa
Hey, Hey.. Dholidaaa
Dham Dham Dhamak Baje
Dholida
Dham Dham Dhamak Baje
Bigda Jaaye Zara Zara Dil Mera
Khulke Nachun Sharmaye Dil Mera
Kaise Samjhun Udd Gaya Hosh Saara
Ae Chaya Chaya Re Dhol Pe Nasha

Hey Hey.. Dholida
Dham Dham Dhamak Baje
Dholida
Dham Dham Dhamak Baje
Hey Dholida
Dham Dham Dhamak Baje
Nache Nache Re Dhol Pe Hawa
(Ch) Ae Waari Waari Khappar Waari
Aarasur Maa Amba Birajeeee
Pawagarh Na Dungarwali
Maa Kali Tara Danka Baajeeeee

Ayeeeeeeeeeee
Maadi Taru Roop Niraldu
Maadi Roop Nu Tu Amba Re
Ae Chanda Sooraj Tara Liya
Gaaye Tara Gunn Hazare
Khamma Khamma Mahri Mawaldi
Tu Che Jagni Taaranhare
Hey Chotila Na Doongarwali
Chandi Chamunda Birdari
Hey Chandi Chamunda Birdari",,
137,Jhume Re Gori,"Archana Gore, Tarannum Malik Jain, Dipti Rege, Aditi Pradhudesai","JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…

SHARM CHODI THODI THODI
NAINO KI YE BOLEY JODI
BESHARMI KARNE DE HEY….

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE….

MUSIC




ANTARA

GALIYON ME BHAGTI
SOTI NA JAAGTI
KOODATI FAANDATI
RAATO MEIN CHANDANI
HAI CHAND PEECHE PADA…
HA HA HA

GALIYON ME BHAGTI
SOTI NA JAAGTI
KOODATI FAANDATI
RAATO MEIN CHANDANI
HAI CHAND PEECHE PADAAA….

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…

SHARM CHODI THODI THODI
NAINO KI YE BOLEY JODI
BESHARMI KARNE DE HEY….

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…

MUSIC


ANTARA 2

MASTI ME DOLTI
CHUP REHKE BOLTI
TAKTI JHANKTI
RASTE TATOLTI
MANZIL KA NA HAI PATAA…

MASTI ME DOLTI
CHUP REHKE BOLTI
TAKTI JHANKTI
RASTE TATOLTI
MANZIL KA NA HAI PATA...AA..AA..AA..

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…

SHARM CHODI THODI THODI
NAINO KI YE BOLEY JODI
BESHARMI KARNE DE
HEY….

JHOOMEY RE GORI
GHOOMEY RE GORI
CHALI KAHAN, CHORI CHORI
HAWA SE HAI BANDHI DORI RE…",,
138,Nagada Sang Dhol,Shreya Ghoshal,"Hey dhin tadaak dhin tadaak
Aaja ud ke saraat
Pairon se bedi zara khol
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhum dhum dhaayn
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhaayn dhum dhaayn (x2)

Re khat-khat haan khat-khat
Baaje dastak woh na ab tak aaya
Re tab se haan tab se
Haan dekhe raahein
Ki ab tu khol baahein aaja
Umad-ghumad ghumein
Re machle re mora mann
Goonje re baalam ke bol

Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhum dhum dhaayn
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhaayn dhum dhaayn

Hey dhin tadaak dhin tadaak
Aaja ud ke saraat
Pairon se bedi zara khol
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhum dhum dhaayn
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhaayn dhum dhaayn

Leeli lemdi re
Leelo nagarvel no chhod
Parbhu parodh na re
Maar gher uttaara karta jaao
Utaaro nahi karun re
Maar gher Sita juve vaat
Sita ekla re
Juve ram-lakhman ni vaat

O pal-pal re pal-pal beet’ta jal-jal
Naach ab chal aaja
Re tharr-tharr tharr-tharr
Haan kaanpe tharr-tharr
Haan darr darr jee se darr ab na na
Baagon mein bola, bola re bola
Morey badla re dil ka bhoogol

Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhum dhum dhaayn
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhaayn dhum dhaayn

Hey dhin tadaak dhin tadaak
Aaja ud ke saraat
Pairon se bedi zara khol

Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhum dhum dhaayn
Nagada sang dhol baaje, dhol baaje
Dhaayn dhaayn dhaayn dhum dhaayn (x2)

Leeli lemdi re
Leelo nagarvel no chhod
Parbhu parodh na re
Maar gher uttaara karta jaao
Utaaro nahi karun re
Maar gher Sita juve vaat
Sita ekla re
Juve ram-lakhman ni vaat

Hey…. ho dhol baaje!
",,
139,Ghoomar,Shreya Ghoshal,"palak buhaaroon aangano raanee sa padhara ghoomar ramava ne aap padhaaro sa aavo jee aavo ghoomaradee khelabaan ne padhaaro sa ghoomaradee khelabaan ne balam thaaro gurar gurar guraraave paas mhaaro jivado ghano hichakaave o ghabaraave man mein bhaave mhaaro baadalo bhanvar man bhaave chhamakachham baaje, paayal baaje baeesa khele chhamakachham ghunghara baaje aao sa ghoomaradee khelabaan ne aao sa ghoomaradee khelabaan ne dhanak preet kee sar pe odh kar ghoomar ghoomar ghoome haan, ghoomar ghoomar ghoome o, lalak reet sab jag kee chhodakar ghoomar ghoomar ghoome bhar ke dhola vaale thaath ghoomar ghoomar ghoomar ghoomar ghoomar ghoome re ghoomar ghoomar ghoome re baeesa ghoomar ghoome re o, mhaaree saaree kaaya bole dhola jee kee chhaaya hole man ka ghoomar jab bhee dole soonepan mein mela bhar ke dhola vaale thaath ghoomar ghoomar ghoomar ghoomar ghoomar ghoome re ghoomar ghoomar ghoome re baeesa ghoomar ghoome re e aao jee, mhaara piya jee thaare ehasaason kee raunak, hai mhaaree divaalee man mahal kee saaree deevaaren, thaare rang rangava lee thaare ehasaason kee raunak, hai mhaaree divaalee man mahal kee saaree deevaaren, thaare rang rangava lee pa ke thaara saaya, tan hai jagamagaaya taaron bharee ho gayee mhaaree, saaree kaalee raat bhar ke dhola vaale thaath ghoomar ghoomar ghoomar ghoomar ghoomar ghoome re ghoomar ghoomar ghoome re baeesa ghoomar ghoome re dhanak preet kee sar pe odh kar ghoomar ghoomar ghoome lalak reet sab jag kee chhodakar ghoomar ghoomar ghoome bhar ke dhola vaale thaath ghoomar ghoomar ghoomar ghoomar ghoomar ghoome re ghoomar ghoomar ghoome re baeesa ghoomar ghoome re aavo jee aavo re ghoomar khelabaan aavo aapaan saath saath ghoomar sagala khelabaan aavo are lahango kurtee chunaree paayaliya the pahano oye loomar jhoomar ghoomar ghoomar the khelo devaraanee, jethaanee khele saasoo jee ghoomar khele nanad bhojaee khele baeesa ghoomar khele ghoome re ghoome re ghoome ghoome ghoome ghoome jhoome jhoome ghoome jhoome ghoomar jhoome ghoome ghoome re ghoome re ghoome ghoome ghoome ghoome jhoome jhoome ghoome jhoome ghoomar jhoome ghoome loomar ghoomar ghoomar ghoomar ghoomar ghoomar ghoome loomar ghoomar ghoomar ghoomar ghoomar ghoomar ghoome loomar ghoomar ghoomar ghoomar ghoomar ghoomar ghoome loomar ghoomar ghoomar ghoomar ghoomar ghoomar ghoome",,
